"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Users,Purpose,Apogee (km),Date of Launch
Jilin-1 Gaofen 03C-01 ,Jilin-1 Gaofen 03C-01 ,China,Commercial,Earth Observation,546,2020-09-14
Jilin-1 Gaofen 03C-02 ,Jilin-1 Gaofen 03C-02 ,China,Commercial,Earth Observation,546,2020-09-14
Jilin-1 Gaofen 03C-03 ,Jilin-1 Gaofen 03C-03 ,China,Commercial,Earth Observation,546,2020-09-14
Jilin-1 Gaofen 03D-01,Jilin-1 Gaofen 03D-01,China,Commercial,Earth Observation,543,2021-07-03
Jilin-1 Gaofen 03D-02,Jilin-1 Gaofen 03D-02,China,Commercial,Earth Observation,544,2021-07-03
Jilin-1 Gaofen 03D-03,Jilin-1 Gaofen 03D-03,China,Commercial,Earth Observation,544,2021-07-03
Jilin-1 Kuanfu-1,Jilin-1 Kuanfu-1,China,Commercial,Earth Observation,492,2020-01-15
"Jilin-1-1 (Optical A, Lingqiao 1)",Jilin-1,China,Commercial,Earth Observation,662,2015-10-07
Jilin-1-10 (Guanpu 2),Jilin-1-10,China,Commercial,Earth Observation,538,2019-01-21
Jilin-1-3 (Lingqiao 3),Jilin-1,China,Commercial,Earth Observation,544,2017-01-09
Jilin-1-4 (Shipin 4),Jilin-1-4,China,Commercial,Earth Observation,545,2017-11-21
Jilin-1-5 (Shipin 5),Jilin-1-5,China,Commercial,Earth Observation,544,2017-11-21
Jilin-1-6 (Shipin 6),Jilin-1-6,China,Commercial,Earth Observation,544,2017-11-21
Jilin-1-7 (Shipin 7),Jilin-1-7,China,Commercial,Earth Observation,546,2018-01-18
Jilin-1-8 (Shipin 8),Jilin-1-8,China,Commercial,Earth Observation,546,2018-01-18
Jilin-1-9 (Guanpu 1),Jilin-1-9,China,Commercial,Earth Observation,538,2019-01-21
Jin Zijing 1-01,Jin Zijing 1-01,China,Commercial,Earth Observation,508,2021-04-27
Jin Zijing 1-02,Jin Zijing 1-02,China,Commercial,Earth Observation,509,2021-04-27
Jin Zijing 2 ,Jin Zijing 2,China,Commercial,Earth Observation,522,2021-10-14
Jingshi-1 (BNU-1),Jingshi-1,China,Civil,Earth Observation,749,2019-09-12
JYISat (JO 97),JYISat,Jordan,Civil,Communications,590,2018-12-03
Kaituo-1A (Xinyan-2),Kaituo-1A,China,Government,Technology Development,536,2015-09-19
Kanopus-B (Kanopus Vulcan 1) ,Kanopus-B,Russia,Government,Earth Observation,505,2012-07-22
Kanopus-V-IK-2,Kanopus-V-IK-2,Russia,Government,Earth Observation,508,2017-07-14
Kanopus-V-IK-3,Kanopus-V-IK-3,Russia,Government,Earth Observation,509,2018-01-31
Kanopus-V-IK-4,Kanopus-V-IK-4,Russia,Government,Earth Observation,509,2018-01-31
Kanopus-V-IK-5,Kanopus-V-IK-5,Russia,Government,Earth Observation,511,2018-12-27
Kanopus-V-IK-6,Kanopus-V-IK-6,Russia,Government,Earth Observation,511,2018-12-27
KazEOSat-1 (Kazcosmos Earth Observation Satellite),KazEOSat-1,Kazakhstan,Government,Earth Observation,754,2014-04-30
KazEOSat-2 (kazcosmos Earth Observation Satellite),KazEOSat-2,Kazakhstan,Government,Earth Observation,636,2014-06-19
KazSat-2,KazSat-2,Kazakhstan,Commercial,Communications,"35,788",2011-07-15
KazSat-3,KazSat-3,Kazakhstan,Commercial,Communications,"35,789",2014-04-28
KazSTSAT (Kazakh Science and Technology Satellite),KazSTSAT,Kazakhstan,Commercial,Earth Observation,589,2018-12-03
Kent Ridge 1,Kent Ridge 1,Singapore,Civil,Earth Observation,551,2015-12-16
Kepler-10 BABY YODA,Kepler-10 BABY YODA,Canada,Commercial,Communications,535,2021-01-24
Kepler-11 DANEEL,Kepler-11 DANEEL,Canada,Commercial,Communications,535,2021-01-24
Kepler-12 BOBA,Kepler-12 BOBA,Canada,Commercial,Communications,535,2021-01-24
Kepler-13 LUCKY,Kepler-13 LUCKY,Canada,Commercial,Communications,535,2021-01-24
Kepler-14 STELLA,Kepler-14 STELLA,Canada,Commercial,Communications,535,2021-01-24
Kepler-15 SUDORMRF,Kepler-15 SUDORMRF,Canada,Commercial,Communications,535,2021-01-24
Kepler-2 CASE,Kepler-2 CASE,Canada,Commercial,Communications,500,2018-11-29
Kepler-3 TARS,Kepler-3 TARS,Canada,Commercial,Communications,535,2020-09-02
Kepler-4 ANTILLES,Kepler-4 ANTILLES,Canada,Commercial,Communications,568,2020-09-28
Kepler-5 AMIDALA,Kepler-5 AMIDALA,Canada,Commercial,Communications,568,2020-09-28
Kepler-6 ROCINANTE,Kepler-6 ROCINANTE,Canada,Commercial,Communications,563,2021-03-22
Kepler-7 C3PO,Kepler-7 C3PO,Canada,Commercial,Communications,563,2021-03-22
Kepler-8 AMAROK,Kepler-8 AMAROK,Canada,Commercial,Communications,535,2021-01-24
Kepler-9 ARTEMIS,Kepler-9 ARTEMIS,Canada,Commercial,Communications,535,2021-01-24
KestrelEye IIM,KestrelEye IIM,USA,Military,Earth Observation/Technology Development,407,2017-10-24
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA 186,USA,Military,Earth Observation,"1,050",2005-10-19
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA 224,USA,Military,Earth Observation,"1,000",2011-01-20
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA 245,USA,Military,Earth Observation,997,2013-08-28
"Keyhole 8 (NRO L71, Advanced KH-11, Improved Crystal Block 5, USA 290)",USA 290,USA,Military,Earth Observation,419,2019-01-19
"Keyhole 9 (NRO L82, Advanced KH-11, Evolved Improved Crystal Block F2, USA 314)",USA 314,USA,Military,Earth Observation,758,2021-04-26
KhalifaSat,KhalifaSat,United Arab Emirates,Government,Earth Observation,616,2018-10-29
KIPP-1 ,KIPP-1,United Kingdom,Commercial,Communications,547,2018-01-18
Kirameki 2 (DSN-2),Kirameki 2,Japan,Military,Communications,"35,810",2017-01-24
KJSY-1 (Kongjian Shiyan-1),KJSY-1,China,Civil,Technology Development,540,2015-09-19
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",KKS-1,Japan,Civil,Technology Development,667,2009-01-23
KL-Alpha-A ,KL-Alpha-A ,Germany,Commercial,Technology Development,"1,056",2019-11-17
KL-Alpha-B,KL-Alpha-B,Germany,Commercial,Technology Development,"1,430",2019-11-17
KL-Beta-A,KL-Beta-A,Germany,Commercial,Technology Development,907,2021-08-04
KL-Beta-B,KL-Beta-B,Germany,Commercial,Technology Development,907,2021-08-04
KMSL (Korea Microgravity Science Laboratory),KMSL (Korea Microgravity Science Laboratory),South Korea,Civil,Space Science,563,2021-03-22
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",Kompsat-2,South Korea,Government/Commercial,Earth Observation/Technology Development,698,2006-07-28
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",Kompsat-3,South Korea,Government/Commercial,Earth Observation,696,2012-05-17
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",Kompsat-3A,South Korea,Government/Commercial,Earth Observation,540,2015-03-25
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",Kompsat-5,South Korea,Government/Commercial,Earth Observation,552,2013-08-22
Kondor (Cosmos 2487),Cosmos 2487,Russia,Military,Earth Observation,501,2013-06-27
Koreasat 5 (Mugungwha 5),Koreasat 5,South Korea,Military/Commercial,Communications,"35,792",2006-08-22
Koreasat 5A (Mugungwha 5A),Koreasat 5A,South Korea,Commercial,Communications,"35,799",2017-10-30
Koreasat 6 (Mugungwha 6),Koreasat 6,South Korea,Commercial,Communications,"35,794",2010-12-29
Koreasat 7 (Mugungwha 7),Koreasat 7,South Korea,Commercial,Communications,"35,791",2017-05-04
KOSEN-1 ,KOSEN-1,Japan,Civil,Technology Development,572,2021-11-08
KSF1-A,KSF1-A,Luxembourg,Commercial,Earth Observation,534,2021-06-30
KSF1-B,KSF1-B,Luxembourg,Commercial,Earth Observation,535,2021-06-30
KSFI-C,KSFI-C,Luxembourg,Commercial,Earth Observation,534,2021-06-30
KSFI-D,KSFI-D,Luxembourg,Commercial,Earth Observation,533,2021-06-30
KSM-1A (Kleos Scouting Mission 1A),KSM-1A,Luxembourg,Commercial,Earth Observation,576,2020-11-07
KSM-1B (Kleos Scouting Mission 1B),KSM-1B,Luxembourg,Commercial,Earth Observation,575,2020-11-07
KSM-1C (Kleos Scouting Mission 1C),KSM-1C,Luxembourg,Commercial,Earth Observation,575,2020-11-07
KSM-1D (Kleos Scouting Mission 1D),KSM-1D,Luxembourg,Commercial,Earth Observation,574,2020-11-07
KSU Cubesat,KSU Cubesat,Saudi Arabia,Civil,Technology Development,562,2021-03-22
KX-09,KX-09,China,Government,Space Science,609,2019-08-30
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA 152,USA,Military,Earth Observation,676,2000-08-17
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA 182,USA,Military,Earth Observation,716,2005-04-30
LacunaSat-2B,LacunaSat-2B,United Kingdom/Netherlands,Commercial,Communications,564,2021-03-22
LacunaSat-3,LacunaSat-3,United Kingdom,Commercial,Communications,567,2020-09-28
Ladybird 1 (Piao chong 1),Ladybird 1,China,Commercial,Technology Development,549,2018-12-07
Ladybird 2 (Piao chong 2),Ladybird 2,China,Commercial,Technology Development,549,2018-12-07
Ladybird 3 (Piao chong 3),Ladybird 3,China,Commercial,Technology Development,550,2018-12-07
Ladybird 4 (Piao chong 4),Ladybird 4,China,Commercial,Technology Development,549,2018-12-07
Ladybird 5 (Piao chong 5),Ladybird 5,China,Commercial,Technology Development,549,2018-12-07
Ladybird 6 (Piao chong 6),Ladybird 6,China,Commercial,Technology Development,549,2018-12-07
Ladybird 7 (Piao chong 7),Ladybird 7,China,Commercial,Technology Development,549,2018-12-07
Landmapper BC3.v2 ,Landmapper BC3.v2,USA,Commercial,Earth Observation,502,2018-01-11
Landmapper BC4,Landmapper BC4,USA,Commercial,Earth Observation ,590,2018-12-03
Landsat 7 ,Landsat 7,USA,Government,Earth Observation,703,1999-04-15
Landsat 8,Landsat 8,USA,Government,Earth Observation,705,2013-02-11
Landsat 9,Landsat 9,USA,Government,Earth Observation,686,2021-09-27
LaoSat-1,LaoSat-1,Laos,Government,Communications,"35,800",2015-11-20
LAPAN A2,LAPAN A2,Indonesia,Government,Earth Observation,650,2015-09-24
LAPAN A3,LAPAN A3,Indonesia,Government,Earth Observation,517,2016-06-22
LAPAN-Tubsat (LAPAN A1),LAPAN-Tubsat,Indonesia,Government,Earth Observation/Technology Development,637,2007-01-10
LatinSat A,LatinSat A,Argentina,Commercial,Communications,668,2002-12-20
LatinSat B ,LatinSat B,Argentina,Commercial,Communications,717,2002-12-20
LDPE-1 (LDPE (Long Duration Propulsive ESPA) ,LDPE-1,USA,Military,Technology Development,"36,125",2021-12-07
LEDSat (LED-based small Satellite),LEDSat,Italy,Civil,Technology Development,565,2021-08-17
Lemur-1,Lemur 1,USA,Commercial,Technology Development,697,2014-06-19
Lemur-2 AC-Cubed ,Lemur 2 AC-Cubed ,USA,Commercial,Earth Observation,533,2021-06-30
Lemur-2 Alexander (Lemur 2F80),Lemur 2F80,USA,Commercial,Earth Observation,486,2018-07-16
Lemur-2 Alex-Maddy (Lemur 2FM106),Lemur 2FM106,USA,Commercial,Earth Observation,546,2019-07-05
Lemur-2 Amanda-Svant,Lemur 2FM162,USA,Commercial,Earth Observation,610,2021-04-29
Lemur-2 AndiS (Lemur 2F47),Lemur 2F47,USA,Commercial,Earth Observation,598,2017-07-14
Lemur-2 Angela (Lemur 2F31),Lemur 2F31,USA,Commercial,Earth Observation,490,2017-04-18
Lemur-2 AnnaBanana,Lemur-2 AnnaBanana,USA,Commercial,Earth Observation,536,2021-06-30
Lemur-2 Anubhavthakur (Lemur 2F16),Lemur 2F16,USA,Commercial,Earth Observation,507,2016-10-17
Lemur-2 ArtFischer (Lemur 2F43),Lemur 2F43,USA,Commercial,Earth Observation,601,2017-07-14
Lemur-2 Beaudacious (Lemur 2FM98),Lemur 2FM98,USA,Commercial,Earth Observation,510,2019-04-01
Lemur-2 BrianDavie (Lemur 2F52),Lemur 2F52,USA,Commercial,Earth Observation,454,2017-12-08
Lemur-2 BrownCow (Lemur 2F71),Lemur 2F71,USA,Commercial,Earth Observation,504,2018-01-11
Lemur-2 CarlSantaMari ,Lemur-2 CarlSantaMari ,USA,Commercial,Earth Observation,535,2021-06-30
Lemur-2 Chantal ,Lemur 2F130,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 Chanusiak (Lemur 2F83),Lemur 2F83,USA,Commercial,Earth Observation,515,2018-11-10
Lemur-2 Chris (Lemur 2F4),Lemur 2F4,USA,Commercial,Earth Observation,649,2015-09-28
Lemur-2 ChristinaHolt (Lemur 2F90) ,Lemur 2F90,USA,Commercial,Earth Observation,585,2018-12-27
Lemur-2 DaisyHarper (Lemur 2F95),Lemur 2F95,USA,Commercial,Earth Observation,587,2018-12-27
Lemur-2 DaveWilson (Lemur 2F69),Lemur 2F69,USA,Commercial,Earth Observation,502,2018-01-11
Lemur-2 DayWzaGoodDay (2FM123),Lemur FM123,USA,Commercial,Earth Observation,568,2020-09-28
Lemur-2 Dembitz (Lemur 2F49),Lemur 2F49,USA,Commercial,Earth Observation,596,2017-07-14
Lemur-2 Djara,Lemur,USA,Commercial,Earth Observation,418,2020-11-05
Lemur-2 Djuproera (Lemur 2FM116),Lemur FM116,USA,Commercial,Earth Observation,538,2020-09-02
Lemur-2 Duly (Lemur 2F87),Lemur 2F87,USA,Commercial,Earth Observation,506,2018-11-29
Lemur-2 Dunlop (Lemur 2F57),Lemur 2F57,USA,Commercial,Earth Observation,452,2017-12-10
Lemur-2 DustInTheWind (Lemur 2FM105) ,Lemur 2FM105,USA,Commercial,Earth Observation,546,2019-07-05
Lemur-2 Ejatta (Lemur 2FM104),Lemur2FM104,USA,Commercial,Earth Observation,546,2019-07-05
Lemur-2 Elham (Lemur 2FM99),Lemur 2FM99,USA,Commercial,Earth Observation,510,2019-04-01
Lemur-2 EthanOakes (Lemur 2FM114),Lemur FM114,USA,Commercial,Earth Observation,538,2020-09-02
Lemur-2 Furiaus (Lemur 2F45),Lemur 2F45,USA,Commercial,Earth Observation,601,2017-07-14
Lemur-2 Greenberg (Lemur 2F42),Lemur 2F42,USA,Commercial,Earth Observation,602,2017-07-14
Lemur-2 GregRobinson (Lemur 2FM108),Lemur 2FM108,USA,Commercial,Earth Observation,543,2019-07-05
Lemur-2 Gustavo (Lemur 2F89),Lemur 2F89,USA,Commercial,Earth Observation,585,2018-12-27
Lemur-2 HiMomAndDad (Lemur 2FM109),Lemur 2FM109,USA,Commercial,Earth Observation,576,2019-12-11
Lemur-2 Jackson,Lemur 2 Jackson,USA,Commercial,Earth Observation,535,2021-06-30
Lemur-2 JenniferSong ,Lemur 2F131,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 JennnyBarna (Lemur 2F30),Lemur 2F30,USA,Commercial,Earth Observation,490,2017-04-18
Lemur-2 Jeremiah (Lemur 2F129),Lemur 2F129,USA,Commercial,Earth Observation,577,2020-11-07
Lemur-2 Jeroen (Lemur 2F3),Lemur 2F3,USA,Commercial,Earth Observation,649,2015-09-28
Lemur-2 Jindra (Lemur 2F127),Lemur 2F127,USA,Commercial,Earth Observation,576,2020-11-07
Lemur-2 Jin-Luen (Lemur 2F76),Lemur 2F76,USA,Commercial,Earth Observation,589,2018-01-31
Lemur-2 Jobanputra (Lemur 2-F22),Lemur 2F22,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 Joel (Lemur 2F1),Lemur 2F1,USA,Commercial,Earth Observation,649,2015-09-28
Lemur-2 JohanLoran (Lemur FM97),Lemur 2FM97,USA,Commercial,Earth Observation,510,2019-04-01
Lemur-2 John-Treires ,Lemur 2 John-Treires ,USA,Commercial,Earth Observation,533,2021-06-30
Lemur-2 JPSquared (Lemur 2FMf110),Lemur 2FM110,USA,Commercial,Earth Observation,579,2019-12-11
Lemur-2 Kadi (Lemur 2F74),Lemur 2F74,USA,Commercial,Earth Observation,588,2018-01-31
Lemur-2 Kevin (Lemur 2F51),Lemur 2F51,USA,Commercial,Earth Observation,455,2017-12-08
Lemur-2 Kobyszcze (Lemur 2F86),Lemur 2F86,USA,Commercial,Earth Observation,500,2018-11-29
Lemur-2 KungFoo (Lemur 2F37),Lemur 2F37,USA,Commercial,Earth Observation,510,2017-06-23
Lemur-2 LillyJo (Lemur 2FM107),Lemur 2FM107,USA,Commercial,Earth Observation,547,2019-07-05
Lemur-2 Lisasaurus (Lemur 2F40),Lemur 2F40,USA,Commercial,Earth Observation,508,2017-06-23
Lemur-2 Liu-Poh-Chun (Lemur 2F55),Lemur 2F55,USA,Commercial,Earth Observation,454,2017-12-08
Lemur-2 LucyBryce (Lemur 2F36),Lemur 2F36,USA,Commercial,Earth Observation,511,2017-06-23
Lemur-2 Lynsey-Symo (Lemur 2F41),Lemur 2F41,USA,Commercial,Earth Observation,508,2017-06-23
Lemur-2 Mango1 (Lemur 2F137),Lemur 2F137,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 Marshall (Lemur 2F73),Lemur 2F73,USA,Commercial,Earth Observation,534,2018-01-21
Lemur-2 McCafferty (Lemur 2F70),Lemur 2F70,USA,Commercial,Earth Observation,504,2018-01-11
Lemur-2 McCullagh (Lemur 2F56),Lemur 2F56,USA,Commercial,Earth Observation,454,2017-12-08
Lemur-2 McPeake (Lemur 2F38),Lemur 2F38,USA,Commercial,Earth Observation,510,2017-06-23
Lemur-2 Merima ,Lemur 2 Merima ,USA,Commercial,Earth Observation,536,2021-06-30
Lemur-2 Mia-Grace (Lemur 2F27),Lemur 2F27,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 Monson (Lemur 2F44),Lemur 2F44,USA,Commercial,Earth Observation,601,2017-07-14
Lemur-2 Morag (Lemur 2FM101),Lemur 2FM101,USA,Commercial,Earth Observation,545,2019-07-05
Lemur-2 NallyWacker (Lemur 2F132),Lemur 2F132,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 NatalieMurray (Lemur 2F94),Lemur 2F94,USA,Commercial,Earth Observation,585,2018-12-27
Lemur-2 Neva (Lemur 2F133),Lemur 2F133,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 Nichol (Lemur FM122),Lemur FM122,USA,Commercial,Earth Observation,568,2020-09-28
Lemur-2 NoguesCorreig (Lemur 2F28),Lemur 2F28,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 NoobNoob,Lemur 2F134,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 Orzulak (Lemur 2F84),Lemur 2F84,USA,Commercial,Earth Observation,500,2018-11-29
Lemur-2 Oscarlator (Lemur 2FM118),Lemur FM118,USA,Commercial,Earth Observation,538,2020-09-02
Lemur-2 Ozarak ,Lemur 2 Ozarak,USA,Commercial,Earth Observation,576,2020-11-07
Lemur-2 Pappy (Lemur 2FM108),Lemur 2FM108,USA,Commercial,Earth Observation,576,2019-12-11
Lemur-2 Peter (Lemur 2F2),Lemur 2F2,USA,Commercial,Earth Observation,650,2015-09-28
Lemur-2 PeterG (Lemur 2F48),Lemur 2F48,USA,Commercial,Earth Observation,596,2017-07-14
Lemur-2 PeterWebster (Lemur 2F68),Lemur 2F68,USA,Commercial,Earth Observation,504,2018-01-11
Lemur-2 Rdeaton (Lemur 2-F25),Lemur 2F25,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 RemyColton (Lemur 2F88),Lemur 2F88,USA,Commercial,Earth Observation,585,2018-12-27
Lemur-2 RobMoore (Lemur 2F33),Lemur 2F33,USA,Commercial,Earth Observation,489,2017-04-18
Lemur-2 RocketJonah (Lemur 2F54),Lemur 2F54,USA,Commercial,Earth Observation,454,2017-12-08
Lemur-2 RomaCoste (Lemur 2F53),Lemur 2F53,USA,Commercial,Earth Observation,455,2017-12-08
Lemur-2 Ruairi-Elidh – 2021-006DC,Lemur 2F135,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 Sam-Amelia (Lemur 2F39),Lemur 2F39,USA,Commercial,Earth Observation,509,2017-06-23
Lemur-2 SaoirseDH5Guo (Lemur 2F136),Lemur 2F136,USA,Commercial,Earth Observation,535,2021-01-24
Lemur-2 SarahBettyBoo (Lemur 2F93),Lemur 2F93,USA,Commercial,Earth Observation,584,2018-12-27
Lemur-2 Satchmo (Lemur 2-F24),Lemur 2F24,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 Schmidtfall (Lemur 2FM115),Lemur 2FM115,USA,Commercial,Earth Observation,538,2020-09-02
Lemur-2 ShainaJohl (Lemur 2F34),Lemur 2F34,USA,Commercial,Earth Observation,511,2017-06-23
Lemur-2 Slicers (Lemur 2FM121),Lemur 2FM121,USA,Commercial,Earth Observation,567,2020-09-28
Lemur-2 Smita-Sharad (Lemur 2-F26),Lemur 2F26,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 Sokolsky (Lemur 2-F14),Lemur 2F14,USA,Commercial,Earth Observation,507,2016-10-17
Lemur-2 SpecialK,Lemur 2F161,USA,Commercial,Earth Observation,612,2021-04-29
Lemur-2 Spire-Minions (Lemur 2F23),Lemur 2F23,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 SpiroVision (Lemur 2F32),Lemur 2F32,USA,Commercial,Earth Observation,490,2017-04-18
Lemur-2 Squarejaws (Lemur 2FM117),Lemur 2FM117,USA,Commercial,Earth Observation,539,2020-09-02
Lemur-2 Susurrus (Lemur 2FM120),Lemur 2FM120,USA,Commercial,Earth Observation,568,2020-09-28
Lemur-2 Tachikoma (Lemur 2F29),Lemur 2F29,USA,Commercial,Earth Observation,507,2017-02-15
Lemur-2 Tallhamn-ATC (Lemur 2F72),Lemur 2F72,USA,Commercial,Earth Observation,532,2018-01-21
Lemur-2 TheNickMolo (Lemur 2F75),Lemur 2F75,USA,Commercial,Earth Observation,588,2018-01-31
Lemur-2 Theodosia (Lemur 2FM111),Lemur 2FM111,USA,Commercial,Earth Observation,576,2019-12-11
Lemur-2 TinyKev (Lemur 2F92) ,Lemur 2F92,USA,Commercial,Earth Observation,584,2018-12-27
Lemur-2 TomHenderson (Lemur 2F78),Lemur 2F78,USA,Commercial,Earth Observation,486,2018-07-16
Lemur-2 UramChanSol (Lemur 2F77),Lemur 2F77,USA,Commercial,Earth Observation,589,2018-01-31
Lemur-2 Ursa Avion (Lemur 2FM119),Lemur FM119,USA,Commercial,Earth Observation,539,2020-09-02
Lemur-2 Victor-Andrew (Lemur 2FM100),Lemur 2FM100,USA,Commercial,Earth Observation,508,2019-04-01
Lemur-2 Vladimir (Lemur 2F85),Lemur 2F85,USA,Commercial,Earth Observation,500,2018-11-29
Lemur-2 Vu (Lemur 2F81),Lemur 2F81,USA,Commercial,Earth Observation,486,2018-07-16
Lemur-2 Wallace (Lemur 2F128),Lemur 2F128,USA,Commercial,Earth Observation,576,2020-11-07
Lemur-2 Wanli (Lemur 2FM102),Lemur 2FM102,USA,Commercial,Earth Observation,547,2019-07-05
Lemur-2 Wingo (Lemur 2F17),Lemur 2F17,USA,Commercial,Earth Observation,507,2016-10-17
Lemur-2 Xiaoqing (Lemur 2F15),Lemur 2F15,USA,Commercial,Earth Observation,507,2016-10-17
Lemur-2 XueniTerence (Lemur 2F35),Lemur 2F35,USA,Commercial,Earth Observation,511,2017-06-23
Lemur-2 Yndrd (Lemur 2FM103),Lemur 2FM103,USA,Commercial,Earth Observation,544,2019-07-05
Lemur-2 YongLin (Lemur 2F50),Lemur 2F50,USA,Commercial,Earth Observation,452,2017-12-09
Lemur-2 Yuasa (Lemur 2F79),Lemur 2F79,USA,Commercial,Earth Observation,486,2018-07-16
Lemur-2 Zachary (Lemur 2F46),Lemur 2F46,USA,Commercial,Earth Observation,597,2017-07-14
Lemur-2 Zo (Lemur 2F91),Lemur 2F91,USA,Commercial,Earth Observation,584,2018-12-27
Lemur-2 Zupanski (Lemur 2F82),Lemur 2F82,USA,Commercial,Earth Observation,595,2018-11-10
LEO CP9 (Launch Environment Observer),LEO CP9,USA,Civil,Technology Development,846,2019-06-25
LEO Vantage 1,LEO Vantage 1,Canada,Commercial,Communications,506,2018-01-11
Lightsail-2,Lightsail-2,USA,Civil,Technology Development,715,2019-06-25
"LilacSat-2 (CAS-3H, Zidingxiang-2)",LilacSat-2,China,Civil,Technology Development,541,2015-09-19
LINCS-1 (Laser Interconnect and Networking Communications System),LINCS-1,USA,Commercial,Communication,536,2021-06-30
LINCS-2 (Laser Interconnect and Networking Communications System),LINCS-2,USA,Commercial,Communication,536,2021-06-30
Ling Qiao,Ling Qiao,China,Commercial,Technology Development,808,2014-09-04
Lingque 1A,Lingque 1A,China,Commercial,Earth Observation,539,2019-01-21
Lize 1,Lize 1,China,Civil,Technology Development,501,2021-12-06
LKW-1 (Land Exploration Satellite 1),LKW-1,China,Military,Earth Observation,502,2017-12-04
LKW-2 (Land Exploration Satellite 2),LKW-2,China,Military,Earth Observation,502,2017-12-22
LKW-3 (Land Exploration Satellite 3),LKW-3,China,Military,Earth Observation,503,2018-01-13
LKW-4 (Land Exploration Satellite 4),LKW-4,China,Military,Earth Observation,502,2018-03-17
"Long Xia Yan (Lobster Eye, NJU-HKU No.1 ) ",Long Xi Yan,China,Civil,Space Science,500,2020-07-25
Lotos-S1 (Cosmos 2455),Cosmos 2455,Russia,Military,Earth Observation,911,2009-11-20
Lotos-S1 803 (Cosmos 2524),Cosmos 2524,Russia,Military,Earth Observation,916,2017-12-03
Lotos-S1 804 (Cosmos 2528),Cosmos 2528,Russia,Military,Earth Observation,900,2018-10-24
Lotos-S1 805 (Cosmos 2549),Cosmos 2549,Russia,Military,Earth Observation,909,2021-02-02
Lotos-S2 (Cosmos 2502),Cosmos 2502,Russia,Military,Earth Observation,910,2014-12-23
"LQSat (Lingqiao Satellite, Jilian 1A)",LQSat,China,Commercial,Earth Observation,663,2015-10-07
"LUCAS (Laser Utilizing Communication System, JDRS-1)",LUCAS,Japan,Government,Communications,"35,792",2020-11-29
Luch 5A,Luch 5A,Russia,Government,Communications,"35,793",2011-12-11
Luch 5B,Luch 5B,Russia,Government,Communications,"35,801",2012-11-02
Luch 5V,Luch 5V,Russia,Government,Communications,"35,802",2014-04-28
Luch/Olympus,Luch/Olympus,Russia,Military,Communications,"35,793",2014-09-27
Lucky-7,Lucky-7,Czech Republic,Commercial,Technology Development,545,2019-07-05
Lume-1,Lume-1,Spain,Commercial/Civil,Communications,513,2018-12-27
Luojia 1,Luojia 1,China,Civil,Earth Observation,647,2018-06-03
Lynk-6 Shannon,Lynk-6,USA,Commercial,Communications,536,2021-06-30
M3MSat (Maritime Monitoring and Messaging Microsatellite),M3MSat,Canada,Government,Earth Observation,515,2016-06-22
MakerSat-1,MakerSat-1,USA,Commercial/Civil,Technology Development,473,2020-01-31
Mandrake 2A,Mandrake 2A,USA,Military,Technology Development,536,2021-06-30
Mandrake 2B,Mandrake 2B,USA,Military,Technology Development,536,2021-06-30
Maroc Tubsat ,Maroc Tubsat,Morocco/Germany,Government,Technology Development,"1,014",2001-12-10
Max Valier,Max Valier,Italy,Civil,Space Science/Technology Development,516,2017-06-23
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 - HRBE [William A. Hiscock Radiation Belt Explorer]),M-Cubed/E1P-U2,USA,Civil,Technology Development,724,2011-10-28
Measat 3A (Malaysia East Asia Sat 3A),Measat 3A,Malaysia,Commercial,Communications,"35,788",2009-06-21
